iter	Passed	Remaining
399	53672	45219
400	53778	45061
401	53949	44957
402	54077	44818
403	54201	44675
404	54370	44570
405	54496	44429
406	54625	44290
407	54762	44158
408	54906	44032
409	55042	43900
410	55149	43744
411	55290	43615
412	55453	43503
413	55578	43362
414	55750	43256
415	55870	43111
416	55979	42958
417	56097	42810
418	56245	42687
419	56407	42574
420	56595	42480
421	56704	42327
422	56853	42202
423	56963	42050
424	57068	41894
425	57204	41761
426	57307	41604
427	57480	41498
428	57594	41349
429	57745	41227
430	57911	41115
431	58049	40983
432	58184	40849
433	58359	40744
434	58480	40600
435	58607	40460
436	58718	40309
437	58849	40173
438	58985	40040
439	59123	39908
440	59235	39758
441	59338	39603
442	59465	39464
443	59592	39325
444	59747	39205
445	59889	39076
446	60010	38932
447	60123	38784
448	60244	38642
449	60353	38491
450	60493	38361
451	60624	38225
452	60796	38114
453	60988	38016
454	61129	37887
455	61272	37758
456	61444	37646
457	61556	37498
458	61669	37351
459	61822	37227
460	61934	37080
461	62064	36943
462	62183	36799
463	62327	36671
464	62441	36524
465	62576	36390
466	62716	36259
467	62883	36144
468	63008	36004
469	63138	35867
470	63289	35743
471	63400	35595
472	63552	35471
473	63708	35348
474	63859	35223
475	63996	35090
476	64122	34951
477	64234	34805
478	64365	34668
479	64510	34540
480	64622	34393
481	64812	34288
482	65000	34182
483	65157	34059
484	65268	33912
485	65459	33807
486	65618	33684
487	65751	33549
488	65938	33441
489	66052	33295
490	66183	33158
491	66310	33020
492	66431	32879
493	66590	32756
494	66732	32624
495	66863	32488
496	67015	32361
497	67142	32222
498	67269	32084
499	67380	31938
500	67504	31798
501	67612	31651
502	67791	31537
503	67944	31410
504	68069	31271
505	68179	31125
506	68291	30980
507	68424	30844
508	68558	30709
509	68685	30571
510	68829	30441
511	68970	30309
512	69086	30166
513	69217	30030
514	69374	29905
515	69502	29767
516	69629	29629
517	69773	29498
518	69912	29365
519	70065	29238
520	70221	29112
521	70354	28977
522	70480	28838
523	70621	28707
524	70732	28562
525	70834	28414
526	70965	28278
527	71095	28142
528	71234	28008
529	71341	27863
530	71491	27734
531	71610	27594
532	71759	27465
533	71898	27332
534	72077	27214
535	72254	27095
536	72389	26960
537	72524	26826
538	72661	26692
539	72812	26563
540	72936	26424
541	73145	26316
542	73281	26181
543	73410	26044
544	73588	25924
545	73742	25796
546	73893	25666
547	74026	25530
548	74181	25402
549	74368	25285
550	74503	25150
551	74647	25017
552	74799	24888
553	74929	24750
554	75077	24620
555	75219	24486
556	75364	24354
557	75522	24226
558	75671	24095
559	75801	23958
560	75970	23833
561	76083	23691
562	76270	23572
563	76406	23436
564	76547	23303
565	76717	23177
566	76844	23039
567	77003	22911
568	77135	22774
569	77302	22648
570	77444	22514
571	77560	22373
572	77674	22231
573	77829	22101
574	77940	21958
575	78046	21815
576	78207	21686
577	78317	21544
578	78438	21404
579	78592	21274
580	78744	21143
581	78870	21005
582	79018	20872
583	79128	20730
584	79263	20594
585	79375	20453
586	79522	20320
587	79631	20178
588	79794	20050
589	79918	19911
590	80085	19784
591	80211	19646
592	80347	19511
593	80475	19373
594	80622	19241
595	80776	19109
596	80941	18981
597	81067	18843
598	81199	18707
599	81308	18565
600	81472	18436
601	81586	18295
602	81719	18159
603	81853	18024
604	81998	17890
605	82125	17753
606	82247	17614
607	82357	17473
608	82483	17336
609	82632	17203
610	82744	17063
611	82879	16927
612	83029	16795
613	83162	16659
614	83277	16520
615	83444	16390
616	83574	16254
617	83733	16123
618	83860	15986
619	84003	15852
620	84169	15722
621	84304	15586
622	84441	15451
623	84573	15315
624	84735	15184
625	84868	15048
626	84997	14911
627	85161	14781
628	85278	14642
629	85414	14506
630	85567	14374
631	85727	14242
632	85881	14110
633	86053	13980
634	86172	13841
635	86286	13702
636	86423	13567
637	86597	13437
638	86738	13302
639	86862	13165
640	86993	13028
641	87146	12895
642	87285	12760
643	87409	12622
644	87573	12491
645	87691	12352
646	87837	12218
647	87946	12079
648	88070	11941
649	88202	11805
650	88311	11666
651	88419	11527
652	88548	11390
653	88661	11252
654	88796	11116
655	88945	10982
656	89128	10852
657	89253	10715
658	89371	10578
659	89537	10446
660	89698	10313
661	89825	10176
662	89966	10041
663	90112	9906
664	90270	9773
665	90450	9642
666	90611	9509
667	90749	9373
668	90902	9239
669	91051	9105
670	91197	8970
671	91360	8836
672	91534	8704
673	91701	8571
674	91869	8438
675	92071	8308
676	92189	8170
677	92318	8033
678	92430	7895
679	92536	7756
680	92648	7618
681	92799	7483
682	92945	7348
683	93080	7212
684	93233	7077
685	93384	6942
686	93498	6804
687	93646	6669
