iter	Quantile:alpha=0.9
0	68.07855986
1	67.96033355
2	67.84660655
3	67.76173338
4	67.66755735
5	67.5832789
6	67.49269495
7	67.41140724
8	67.34123031
9	67.27331055
10	67.21708753
11	67.15585412
12	67.10111924
13	67.04009352
14	66.98025991
15	66.9333801
16	66.88024092
17	66.82789756
18	66.76888745
19	66.72940991
20	66.67974643
21	66.63520809
22	66.61241594
23	66.5492912
24	66.51689436
25	66.48301143
26	66.44115397
27	66.40404623
28	66.36937776
29	66.34933975
30	66.31559132
31	66.2778221
32	66.23984132
33	66.19346308
34	66.16327265
35	66.13419596
36	66.10042182
37	66.0604665
38	66.04005176
39	66.00884733
40	65.97270956
41	65.931042
42	65.89629227
43	65.86614863
44	65.83837194
45	65.81226867
46	65.78902832
47	65.7701422
48	65.74085243
49	65.73145822
50	65.70629092
51	65.6704784
52	65.64882961
53	65.6230675
54	65.5954946
55	65.59085823
56	65.57496088
57	65.55385955
58	65.53859254
59	65.52183003
60	65.51316036
61	65.5035088
62	65.47428916
